player,team,oart_mean,oart_std,n_passes,completion_rate,avg_chosen_prob,avg_options
Aaron Mooy,Australia,0.5139,0.3482,197,0.7817,0.7708,6.9848
Aaron Ramsey,Wales,0.4908,0.3418,103,0.767,0.7727,7.2233
Abdelhamid Sabiri,Morocco,0.422,0.3768,53,0.7736,0.795,6.6604
Abdelkarim Hassan Al Haj Fadlalla,Qatar,0.4887,0.3707,141,0.7872,0.7808,5.8865
Abdou Diallo,Senegal,0.512,0.3462,148,0.7973,0.7902,6.723
Abdul Rahman Baba,Ghana,0.5512,0.3714,81,0.6543,0.6964,6.4938
Abdulaziz Hatem Mohammed Abdullah,Qatar,0.5389,0.346,85,0.8,0.8226,6.3059
Abdulelah Al Amri,Saudi Arabia,0.6325,0.3416,85,0.7529,0.7314,6.4706
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,0.4799,0.3369,68,0.7941,0.8312,6.7059
Achraf Dari,Morocco,0.4106,0.3248,87,0.8966,0.9012,6.3103
Achraf Hakimi Mouh,Morocco,0.4657,0.3349,290,0.8241,0.7846,6.6931
Adrien Rabiot,France,0.4727,0.338,255,0.8667,0.8223,7.1059
Ahmad Nourollahi,Iran,0.6093,0.3249,53,0.717,0.7041,6.4717
Akram Hassan Afif,Qatar,0.4664,0.357,142,0.8521,0.8099,6.4507
Alejandro Balde Martínez,Spain,0.232,0.3423,102,0.9314,0.8995,6.3137
Alejandro Darío Gómez,Argentina,0.4263,0.3387,43,0.8605,0.8454,6.9767
Aleksandar Mitrović,Serbia,0.6181,0.3241,57,0.7895,0.8089,6.9298
Alex Nicolao Telles,Brazil,0.3823,0.3367,34,0.7647,0.8092,7.4706
Alex Sandro Lobo Silva,Brazil,0.3428,0.3031,124,0.8952,0.8726,7.2903
Alexander Djiku,Ghana,0.3771,0.4092,25,0.84,0.8148,7.36
Alexander Hartmann Bah,Denmark,0.3957,0.3789,38,0.7105,0.7524,6.7368
Alexis Mac Allister,Argentina,0.4664,0.3192,236,0.9068,0.8617,7.0254
Ali Abdi,Tunisia,0.5913,0.3829,80,0.675,0.6933,5.9
Ali Albulayhi,Saudi Arabia,0.4459,0.3795,75,0.8133,0.8462,5.8667
Ali Gholizadeh,Iran,0.5751,0.3829,65,0.6769,0.6959,6.0154
Ali Karimi,Iran,0.5056,0.3697,41,0.7805,0.7369,6.5366
Ali Maâloul,Tunisia,0.662,0.3468,50,0.68,0.6455,5.74
Alidu Seidu,Ghana,0.3832,0.3538,57,0.7895,0.791,6.3509
Alisson Ramsés Becker,Brazil,0.3875,0.3638,47,0.8298,0.8493,5.3404
Alistair Johnston,Canada,0.4267,0.3635,136,0.8235,0.8012,6.3676
Almoez Ali Zainalabiddin Abdulla,Qatar,0.5037,0.3998,40,0.775,0.8195,6.7
Alphonso Davies,Canada,0.4624,0.3316,94,0.734,0.7819,6.734
Amadou Onana,Belgium,0.3871,0.2932,55,0.9091,0.8742,7.7273
Andreas Christensen,Denmark,0.3926,0.3086,219,0.9452,0.9262,5.9087
Andreas Evald Cornelius,Denmark,0.7048,0.3342,30,0.6667,0.6928,5.9667
Andreas Skov Olsen,Denmark,0.4776,0.4082,53,0.6792,0.7066,5.2264
Andrej Kramarić,Croatia,0.349,0.3255,151,0.8675,0.8482,6.0795
Andries Noppert,Netherlands,0.523,0.3925,109,0.7982,0.7647,5.0
Andrija Živković,Serbia,0.5155,0.3837,75,0.72,0.7357,6.08
André Ayew Pelé,Ghana,0.6512,0.3384,32,0.8125,0.7226,6.4688
André Onana,Cameroon,0.5697,0.4092,38,0.7105,0.7205,3.8421
André-Frank Zambo Anguissa,Cameroon,0.4907,0.34,121,0.843,0.8307,6.438
Angelo Smit Preciado Quiñónez,Ecuador,0.5343,0.3942,98,0.7347,0.7204,5.8163
Anis Ben Slimane,Tunisia,0.6392,0.3292,36,0.6667,0.6368,5.7778
Antoine Griezmann,France,0.532,0.3528,273,0.8242,0.7738,7.0659
Antonee Robinson,United States,0.5185,0.4035,198,0.7273,0.756,6.3535
Antonio Rüdiger,Germany,0.3422,0.3144,216,0.9306,0.899,6.0926
Antony Matheus dos Santos,Brazil,0.4254,0.3537,91,0.8022,0.7792,6.2198
António João Pereira Albuquerque Tavares Silva,Portugal,0.3634,0.3306,55,1.0,0.9645,5.8
Ao Tanaka,Japan,0.5382,0.3689,64,0.7188,0.7378,6.875
Arkadiusz Milik,Poland,0.5297,0.3779,29,0.6897,0.7234,5.8966
Assim Omer Al Haj Madibo,Qatar,0.5219,0.3305,59,0.8644,0.863,7.0339
Atiba Hutchinson,Canada,0.4635,0.3211,101,0.9208,0.8684,6.6337
Aurélien Djani Tchouaméni,France,0.4393,0.3301,417,0.9233,0.8812,7.1151
Axel Disasi,France,0.4854,0.3526,62,0.7419,0.7927,6.0806
Axel Witsel,Belgium,0.3604,0.268,152,0.9605,0.911,7.6908
Aymen Dahmen,Tunisia,0.7212,0.3487,44,0.7045,0.6686,3.5227
Aymeric Laporte,Spain,0.3421,0.2818,401,0.9426,0.9204,7.0025
Aziz Eraltay Behich,Australia,0.4305,0.38,148,0.7432,0.7851,6.1554
Azzedine Ounahi,Morocco,0.4989,0.3393,241,0.8299,0.8206,6.668
Aïssa Bilal Laïdouni,Tunisia,0.5637,0.3626,108,0.8148,0.7997,6.0
Bartosz Bereszyński,Poland,0.4519,0.3877,114,0.807,0.8037,6.4035
Bassam Hisham Al Rawi,Qatar,0.472,0.3857,53,0.8302,0.8059,5.6792
Ben Davies,Wales,0.5164,0.3432,137,0.7518,0.7637,7.1022
Benjamin Pavard,France,0.3315,0.3426,79,0.9114,0.8976,7.0506
Bernardo Mota Veiga de Carvalho e Silva,Portugal,0.4002,0.3154,251,0.8884,0.8522,7.2988
Borna Barišić,Croatia,0.4826,0.4118,48,0.7917,0.7444,6.625
Borna Sosa,Croatia,0.5256,0.3762,220,0.7864,0.7493,6.1
Boualem Khoukhi,Qatar,0.4858,0.3247,174,0.8563,0.8447,6.0345
Boulaye Dia,Senegal,0.3885,0.3865,42,0.7143,0.7938,5.6429
Brandon Aguilera Zamora,Costa Rica,0.6792,0.3449,29,0.6897,0.7249,7.5172
