frame,time_sec,class,confidence,center_x,center_y,width,height
0,0.0,person,0.785,590.7,268.5,32.2,65.9
0,0.0,person,0.783,762.1,168.7,16.8,48.2
0,0.0,sports ball,0.754,400.0,320.3,9.3,10.0
0,0.0,person,0.746,735.1,219.7,27.1,49.4
0,0.0,person,0.697,497.2,406.2,30.5,57.2
0,0.0,person,0.672,512.5,274.7,26.9,46.6
0,0.0,person,0.616,299.5,155.2,20.7,40.1
0,0.0,person,0.595,696.4,134.8,17.8,40.2
0,0.0,person,0.578,160.7,107.1,16.8,37.9
0,0.0,person,0.573,560.1,273.5,35.9,50.7
0,0.0,person,0.546,330.8,165.5,18.6,42.8
0,0.0,person,0.534,754.8,418.9,24.8,64.9
0,0.0,person,0.521,253.3,459.8,27.7,38.1
0,0.0,person,0.519,535.5,227.8,16.9,45.9
0,0.0,person,0.497,753.9,411.6,21.3,50.8
0,0.0,person,0.476,364.2,174.9,17.5,34.1
0,0.0,person,0.452,580.6,121.9,13.7,34.4
0,0.0,person,0.419,548.4,51.2,13.4,32.6
0,0.0,person,0.411,507.7,405.8,52.3,56.5
0,0.0,person,0.409,718.2,109.7,14.4,41.0
0,0.0,person,0.409,437.0,382.7,48.3,56.7
0,0.0,person,0.407,669.8,99.5,14.5,34.6
5,0.2,person,0.803,617.1,260.3,19.6,58.4
5,0.2,person,0.761,789.8,166.8,22.4,47.4
5,0.2,person,0.739,286.5,455.2,26.5,49.6
5,0.2,person,0.714,755.3,218.6,19.9,45.4
5,0.2,person,0.677,352.4,165.0,22.3,42.5
5,0.2,person,0.668,726.0,133.7,16.2,41.0
5,0.2,person,0.643,542.7,272.9,27.0,43.3
5,0.2,person,0.625,319.2,151.4,25.7,37.8
5,0.2,person,0.6,764.7,133.1,17.6,41.1
5,0.2,person,0.596,503.0,399.1,51.8,53.9
5,0.2,person,0.596,571.1,268.6,17.0,59.4
5,0.2,person,0.565,184.3,101.7,21.8,27.0
5,0.2,person,0.555,574.8,50.9,19.4,31.1
