frame,time_sec,tracker_id,class,confidence,center_x,center_y
0,0.0,1,person,0.785,590.7,268.5
0,0.0,2,person,0.783,762.1,168.7
0,0.0,3,sports ball,0.754,400.0,320.3
0,0.0,4,person,0.746,735.1,219.7
0,0.0,5,person,0.697,497.2,406.2
0,0.0,6,person,0.672,512.5,274.7
0,0.0,7,person,0.616,299.5,155.2
0,0.0,8,person,0.595,696.4,134.8
0,0.0,9,person,0.578,160.7,107.1
0,0.0,10,person,0.573,560.1,273.5
0,0.0,11,person,0.546,330.8,165.5
0,0.0,12,person,0.534,754.8,418.9
0,0.0,13,person,0.521,253.3,459.8
0,0.0,14,person,0.519,535.5,227.8
0,0.0,15,person,0.497,753.9,411.6
0,0.0,16,person,0.476,364.2,174.9
0,0.0,17,person,0.452,580.6,121.9
0,0.0,18,person,0.419,548.4,51.2
0,0.0,19,person,0.411,507.7,405.8
0,0.0,20,person,0.409,718.2,109.7
0,0.0,21,person,0.409,437.0,382.7
0,0.0,22,person,0.407,669.8,99.5
1,0.04,2,person,0.786,767.1,167.7
1,0.04,1,person,0.775,594.6,267.2
1,0.04,4,person,0.748,738.9,218.9
1,0.04,19,person,0.724,501.9,405.7
1,0.04,10,person,0.699,563.0,273.6
1,0.04,7,person,0.685,301.9,154.2
1,0.04,13,person,0.682,258.9,459.1
1,0.04,6,person,0.673,515.5,272.4
1,0.04,3,sports ball,0.665,394.6,320.9
1,0.04,9,person,0.641,162.9,105.1
1,0.04,8,person,0.599,701.0,134.1
1,0.04,14,person,0.552,539.7,227.9
1,0.04,11,person,0.524,334.0,167.2
1,0.04,18,person,0.507,553.2,51.9
1,0.04,17,person,0.499,584.5,121.4
1,0.04,15,person,0.423,760.2,410.3
1,0.04,21,person,0.315,438.3,383.5
2,0.08,19,person,0.78,501.1,404.0
2,0.08,6,person,0.718,521.3,273.3
2,0.08,2,person,0.707,771.7,166.5
2,0.08,1,person,0.672,602.2,263.6
2,0.08,13,person,0.668,265.2,458.0
2,0.08,3,sports ball,0.588,390.2,321.4
2,0.08,15,person,0.574,766.4,417.9
2,0.08,9,person,0.568,166.3,104.4
2,0.08,8,person,0.551,707.0,134.5
2,0.08,14,person,0.548,542.6,225.9
2,0.08,4,person,0.525,742.5,219.0
2,0.08,26,person,0.508,355.7,243.5
2,0.08,17,person,0.508,588.9,121.5
2,0.08,10,person,0.497,564.8,271.8
2,0.08,7,person,0.496,307.1,153.8
2,0.08,18,person,0.46,556.9,51.5
2,0.08,21,person,0.43,432.5,382.7
2,0.08,11,person,0.342,339.2,167.3
3,0.12,19,person,0.764,503.5,400.4
3,0.12,2,person,0.743,777.7,166.4
3,0.12,3,sports ball,0.702,386.4,322.7
3,0.12,1,person,0.692,606.9,263.0
3,0.12,4,person,0.647,746.3,219.1
3,0.12,6,person,0.638,528.1,272.5
3,0.12,17,person,0.625,594.4,121.4
3,0.12,13,person,0.621,272.5,457.2
3,0.12,15,person,0.585,771.9,415.7
3,0.12,8,person,0.534,712.7,134.6
3,0.12,31,person,0.444,562.5,269.6
3,0.12,10,person,0.439,566.9,271.1
3,0.12,26,person,0.427,358.3,244.1
3,0.12,11,person,0.426,341.5,160.9
3,0.12,7,person,0.405,309.6,152.7
3,0.12,14,person,0.377,546.5,222.7
4,0.16,2,person,0.773,783.8,167.0
4,0.16,1,person,0.769,611.2,261.7
4,0.16,26,person,0.719,358.1,244.9
4,0.16,6,person,0.699,536.8,273.1
4,0.16,13,person,0.682,279.6,456.1
4,0.16,19,person,0.665,504.2,399.0
4,0.16,8,person,0.655,718.3,133.8
4,0.16,10,person,0.622,569.3,269.7
4,0.16,7,person,0.619,313.7,151.2
4,0.16,4,person,0.572,750.2,218.5
4,0.16,17,person,0.549,598.4,121.4
4,0.16,11,person,0.548,345.8,160.9
4,0.16,15,person,0.503,777.8,411.7
4,0.16,21,person,0.482,444.4,382.0
4,0.16,3,sports ball,0.467,383.4,323.7
5,0.2,1,person,0.803,617.1,260.3
5,0.2,2,person,0.761,789.8,166.8
5,0.2,13,person,0.739,286.5,455.2
5,0.2,4,person,0.714,755.3,218.6
5,0.2,8,person,0.668,726.0,133.7
