frame,time_sec,tracker_id,class,confidence,center_x,center_y,pitch_x,pitch_y
0,0.0,1,person,0.785,590.7,268.5,67.020775,48.93642
0,0.0,2,person,0.783,762.1,168.7,81.56835,36.21522
0,0.0,3,sports ball,0.754,400.0,320.3,53.835884,53.75502
0,0.0,4,person,0.746,735.1,219.7,78.03761,43.64006
0,0.0,5,person,0.697,497.2,406.2,59.174892,64.57292
0,0.0,6,person,0.672,512.5,274.7,61.683445,48.979355
0,0.0,7,person,0.616,299.5,155.2,47.484245,28.66966
0,0.0,8,person,0.595,696.4,134.8,77.800285,29.878277
0,0.0,9,person,0.578,160.7,107.1,36.500317,18.339537
0,0.0,10,person,0.573,560.1,273.5,64.885315,49.29679
0,0.0,11,person,0.546,330.8,165.5,49.81048,30.764944
0,0.0,14,person,0.519,535.5,227.8,63.947807,42.69556
0,0.0,15,person,0.497,753.9,411.6,74.39523,67.36056
0,0.0,16,person,0.476,364.2,174.9,52.24705,32.693207
0,0.0,17,person,0.452,580.6,121.9,69.31832,26.248903
0,0.0,18,person,0.419,548.4,51.2,68.42191,12.335441
0,0.0,19,person,0.411,507.7,405.8,59.809483,64.62135
0,0.0,20,person,0.409,718.2,109.7,80.298546,25.753225
0,0.0,21,person,0.409,437.0,382.7,55.730164,61.465897
0,0.0,22,person,0.407,669.8,99.5,76.86505,23.305017
1,0.04,2,person,0.786,767.1,167.7,81.96731,36.11297
1,0.04,1,person,0.775,594.6,267.2,67.30637,48.801376
1,0.04,4,person,0.748,738.9,218.9,78.32571,43.56476
1,0.04,19,person,0.724,501.9,405.7,59.462246,64.56015
1,0.04,10,person,0.699,563.0,273.6,65.077545,49.33918
1,0.04,7,person,0.685,301.9,154.2,47.66673,28.527773
1,0.04,6,person,0.673,515.5,272.4,61.9157,48.702003
1,0.04,3,sports ball,0.665,394.6,320.9,53.483135,53.77805
1,0.04,9,person,0.641,162.9,105.1,36.6557,17.986998
1,0.04,8,person,0.599,701.0,134.1,78.170265,29.813316
1,0.04,14,person,0.552,539.7,227.9,64.23896,42.754543
1,0.04,11,person,0.524,334.0,167.2,50.043144,31.083727
1,0.04,18,person,0.507,553.2,51.9,68.80334,12.543995
1,0.04,17,person,0.499,584.5,121.4,69.63044,26.207668
1,0.04,15,person,0.423,760.2,410.3,74.79718,67.279045
1,0.04,21,person,0.315,438.3,383.5,55.803787,61.567028
2,0.08,19,person,0.78,501.1,404.0,59.43175,64.37041
2,0.08,6,person,0.718,521.3,273.3,62.291885,48.880722
2,0.08,2,person,0.707,771.7,166.5,82.344696,35.97419
2,0.08,1,person,0.672,602.2,263.6,67.88503,48.3935
2,0.08,13,person,0.668,265.2,458.0,45.229637,67.98905
2,0.08,3,sports ball,0.588,390.2,321.4,53.19585,53.79818
2,0.08,9,person,0.568,166.3,104.4,36.920696,17.896618
2,0.08,8,person,0.551,707.0,134.5,78.61112,29.952677
2,0.08,14,person,0.548,542.6,225.9,64.47432,42.49521
2,0.08,4,person,0.525,742.5,219.0,78.5735,43.617435
