,Lionel Messi,Kylian Mbappé
matches,7.0,7.0
goals,9.0,9.0
shots,34.0,32.0
shots_on_target,20.0,14.0
conversion_rate,26.5,28.1
xg,7.6,5.02
xg_per_shot,0.224,0.157
goals_minus_xg,1.4,3.98
assists,3.0,2.0
key_passes,16.0,9.0
passes_attempted,371.0,233.0
passes_completed,306.0,180.0
pass_accuracy,82.5,77.3
progressive_passes,110.0,44.0
passes_to_box,54.0,51.0
dribbles_attempted,36.0,50.0
dribbles_successful,26.0,30.0
dribble_success_rate,72.2,60.0
carries,391.0,298.0
total_carry_distance,2887.1,2469.6
ball_recoveries,34.0,30.0
pressures,89.0,37.0
fouls_won,27.0,10.0
fouls_committed,11.0,8.0
total_actions,1553.0,1110.0
actions_per_match,221.9,158.6
avg_position_x,75.7,84.2
avg_position_y,49.9,18.3
