,Argentina,France
total_passes,4615.0,3926.0
pass_accuracy,85.4,83.8
avg_pass_length,19.6,20.8
long_passes_pct,15.6,18.4
short_passes_pct,44.2,41.7
progressive_passes_pct,28.3,31.2
passes_to_box,235.0,246.0
passes_to_box_per_game,33.6,35.1
pct_defensive_third,25.2,25.0
pct_middle_third,50.0,50.1
pct_attacking_third,24.8,24.9
total_shots,110.0,106.0
goals,23.0,18.0
shots_per_game,15.7,15.1
conversion_rate,20.9,17.0
total_xg,20.99,14.96
xg_per_game,3.0,2.14
xg_overperformance,2.01,3.04
total_pressures,980.0,905.0
pressures_per_game,140.0,129.3
ball_recoveries,325.0,310.0
high_recoveries_pct,45.5,44.8
dribbles_attempted,122.0,130.0
dribble_success_rate,54.1,59.2
total_carries,3763.0,3174.0
pass_to_carry_ratio,1.23,1.24
pct_left_side,30.6,36.6
pct_center,31.5,28.1
pct_right_side,37.8,35.3
games_played,7.0,7.0
goals_per_game,3.29,2.57
passes_per_game,659.3,560.9
